run,CAGR_pct,Sharpe,MaxDrawdown_pct,Top10_overlap_pct,w_DDM,w_DCF,w_RI,w_PE,w_PB,w_PCF,w_PS
0,15.300945,0.830208,-4.585745,100.000000,0.360542,0.248029,0.149250,0.094790,0.057042,0.056808,0.033540
1,14.661077,0.845371,-3.349189,100.000000,0.464042,0.291524,0.043937,0.169359,0.009785,0.018658,0.002694
2,17.709551,0.805914,-8.635055,100.000000,0.256673,0.407009,0.143517,0.172620,0.001017,0.019026,0.000139
3,17.724379,0.811318,-8.559739,100.000000,0.221143,0.462120,0.017756,0.056711,0.189872,0.000195,0.052202
4,12.938567,0.938480,0.000000,100.000000,0.588757,0.158407,0.002376,0.064062,0.005660,0.172167,0.008571
5,12.386502,0.949235,0.000000,100.000000,0.691358,0.088331,0.055041,0.010717,0.000032,0.041986,0.112534
6,17.922627,0.809886,-8.635055,100.000000,0.219690,0.483073,0.018806,0.034024,0.211621,0.003791,0.028994
7,16.465831,0.817039,-6.198173,100.000000,0.198891,0.058351,0.381985,0.002740,0.116608,0.228978,0.012446
8,11.761774,0.994298,0.000000,100.000000,0.710745,0.077977,0.000893,0.010741,0.015104,0.183446,0.001094
9,14.563942,0.895142,-2.328975,100.000000,0.207088,0.207903,0.107318,0.054559,0.000398,0.074512,0.348221
10,18.515197,0.666835,-18.368141,100.000000,0.085920,0.673965,0.046640,0.096637,0.061080,0.019153,0.016605
11,13.560319,0.899436,-0.617431,100.000000,0.610820,0.193991,0.024204,0.094362,0.027149,0.012200,0.037273
12,12.224976,1.126960,0.000000,100.000000,0.039589,0.125390,0.016844,0.099301,0.593343,0.094077,0.031456
13,15.031952,0.838725,-3.254004,100.000000,0.558901,0.128417,0.247168,0.030926,0.001833,0.032131,0.000625
14,14.649630,0.856615,-3.175331,100.000000,0.446105,0.302484,0.028811,0.159143,0.000287,0.000600,0.062571
15,15.130187,0.886291,-2.624192,100.000000,0.224907,0.167372,0.176592,0.170238,0.058666,0.202163,0.000062
16,18.553779,0.660982,-18.834710,100.000000,0.126033,0.624442,0.144308,0.037522,0.012962,0.054524,0.000209
17,17.225308,0.745087,-10.474756,100.000000,0.134324,0.472184,0.116422,0.244432,0.029826,0.000195,0.002618
18,15.550452,0.797392,-5.459320,100.000000,0.586101,0.360591,0.037173,0.001991,0.008308,0.003838,0.001998
19,17.387272,0.843247,-6.651989,100.000000,0.234369,0.368547,0.098377,0.002166,0.130924,0.160732,0.004885
20,15.494985,0.813406,-5.205228,100.000000,0.427494,0.249217,0.208103,0.090704,0.014852,0.007605,0.002024
21,15.572108,0.819618,-4.842461,100.000000,0.465365,0.236344,0.209153,0.052320,0.028811,0.007996,0.000010
22,17.227776,0.740842,-10.590369,100.000000,0.222921,0.385972,0.239734,0.138760,0.012103,0.000171,0.000339
23,18.391645,0.763726,-11.518356,100.000000,0.326171,0.534455,0.054438,0.000221,0.003697,0.052386,0.028632
24,14.539765,0.879763,-2.509506,100.000000,0.337520,0.176150,0.189742,0.231555,0.001416,0.000168,0.063448
25,18.237213,0.696926,-15.247577,100.000000,0.078797,0.456873,0.239225,0.061610,0.104217,0.017376,0.041902
26,11.889698,1.007844,0.000000,100.000000,0.417642,0.068120,0.000994,0.140110,0.011461,0.030249,0.331423
27,14.213775,0.891472,-1.507570,100.000000,0.376187,0.255588,0.031546,0.294619,0.008224,0.033835,0.000001
28,11.447686,1.026763,0.000000,100.000000,0.394067,0.069653,0.002011,0.332862,0.013400,0.187511,0.000494
